回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
20,152,牛崎 潤美,178,20,50,18,147.0,140.0
20,153,坂田ネムノ,175,7,54,5,148.0,142.0
20,154,小兎姫,171,17,48,2,149.0,141.0
20,155,コンガラ,161,16,44,4,150.0,144.0
20,156,ユキ,140,10,45,0,162.0,153.0
20,157,エリス,139,10,30,3,145.0,148.0
20,158,雲山,138,8,43,0,156.0,146.0
20,159,毛玉,135,3,34,0,152.0,145.0
20,160,レイラ・プリズムリバー,131,10,37,1,160.0,158.0
20,161,里香,130,12,34,0,163.0,156.0
20,162,大ナマズ,122,4,40,1,159.0,154.0
20,163,カワウソ霊,119,2,39,1,153.0,148.0
20,164,るーこと,117,12,37,0,161.0,155.0
20,165,ユウゲンマガン,115,9,39,1,170.0,165.0
20,166,玄爺,110,5,33,0,167.0,168.0
20,167,UFO（赤・青・緑、その他）,101,5,31,0,165.0,162.0
20,168,朝倉 理香子,96,2,31,0,164.0,160.0
20,169,ルイズ,87,7,21,1,168.0,137.0
20,170,シンギョク,86,9,29,3,174.0,166.0
20,171,妖精（メイド妖精・ひまわり妖精 他）,85,4,22,0,166.0,175.0
20,172,核熱造神ヒソウテンソク,83,6,21,0,168.0,161.0
20,173,オレンジ,78,6,27,0,178.0,173.0
20,173,カラス（地獄鴉、紫・文の使い魔 他）,78,2,14,0,175.0,169.0
20,175,ミミちゃん,75,2,20,0,172.0,171.0
20,176,嫦娥,65,5,30,0,179.0,172.0
20,177,ツチノコ,64,3,23,0,177.0,166.0
20,177,チュパカブラ,64,2,16,0,176.0,179.0
20,179,なめえもん,60,3,26,0,180.0,163.0
20,180,鯢呑亭の常連,58,1,25,0,181.0,
20,181,サラ,54,5,14,1,170.0,181.0
20,182,旧作名無し中ボス,51,4,20,0,173.0,163.0
20,183,兎（玉兎、永遠亭の妖怪兎 他）,50,1,16,0,187.0,181.0
20,184,キクリ,49,1,16,1,183.0,176.0
20,185,狐（妖怪狐、狐の子他）,46,2,15,0,188.0,187.0
20,186,河童（山童含む）,40,1,7,0,185.0,180.0
20,187,天狗（香霖堂の天狗、大天狗 他）,38,1,6,0,206.0,191.0
20,188,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,35,1,7,0,182.0,178.0
20,189,龍（子龍、邪龍 他）,34,0,15,0,191.0,185.0
20,190,オオカミ霊,33,0,12,0,183.0,177.0
20,190,オオワシ霊,33,1,9,0,185.0,183.0
20,192,ホフゴブリン,32,3,7,0,190.0,191.0
20,193,神降ろしの神霊（天照、伊豆能売 他）,28,1,3,0,204.0,194.0
20,194,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,27,0,9,0,189.0,183.0
20,195,岩笠,26,1,9,0,201.0,187.0
20,196,命蓮,24,0,4,0,198.0,193.0
20,197,万歳楽,23,3,10,0,195.0,190.0
20,197,ケセランパサラン,23,0,7,0,201.0,186.0
20,199,水江浦島子,20,2,7,0,216.0,206.0
20,199,幽霊（怨霊、神霊、化け化け含む）,20,1,7,0,193.0,200.0
20,199,ライカ,20,2,11,0,191.0,
20,202,木花咲耶姫,19,2,3,0,196.0,195.0
20,203,座敷童,18,2,5,0,207.0,208.0
20,203,都市伝説の怪異（お菊さん、八尺さま 他）,18,0,5,0,194.0,174.0
20,205,鯢呑亭の店主,15,0,6,0,197.0,
20,206,酒虫,14,1,2,0,198.0,189.0
20,206,小鈴の両親,14,0,7,0,198.0,205.0
20,208,月の都の門番,13,2,5,0,207.0,202.0
20,209,仙台四郎（福の神）,12,0,3,0,207.0,197.0
20,210,運松,11,1,3,0,211.0,204.0
20,211,毘沙門天,10,0,0,0,212.0,195.0
20,211,ヤマネ,10,1,0,0,212.0,170.0
20,211,ウワバミ,10,0,3,0,201.0,198.0
20,214,狸（化け狸、野鉄砲他）,9,1,1,0,207.0,198.0
20,215,煙々羅,8,0,3,0,214.0,207.0
20,216,塩屋敷の旦那,6,0,2,0,205.0,201.0
20,217,沓頬,5,0,1,0,214.0,202.0
